location,Unnamed: 0,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm
1st Phase JP Nagar,7404.789473684211,1868.0,2.9473684210526314,1.736842105263158,175.60526315789474,2.8421052631578947,173.542804,214905.7210526316,1234.902558836842
5th Phase JP Nagar,6649.323529411765,1370.264705882353,2.3529411764705883,1.7352941176470589,70.98235294117647,2.5,127.30170197058824,86868.20352941177,678.0127150764706
7th Phase JP Nagar,7055.340277777777,1467.8125,2.4375,1.5416666666666667,97.13138888888889,2.611111111111111,136.3641846875,118869.39372222222,842.33800714375
8th Phase JP Nagar,7962.45652173913,1327.5434782608695,2.3260869565217392,1.6304347826086956,61.94717391304348,2.5,123.33277176086958,75810.9514347826,613.4849767608696
9th Phase JP Nagar,6646.4838709677415,1332.3629032258063,2.193548387096774,1.4193548387096775,63.29354838709677,2.3548387096774195,123.78051079999999,77458.64451612903,604.0373095225806
Abbigere,8124.190476190476,1214.3333333333333,2.5714285714285716,0.9523809523809523,46.01619047619048,2.7142857142857144,112.81520966666668,56314.61390476191,498.96536806190477
Akshaya Nagar,6803.945454545455,1526.8181818181818,2.5636363636363635,1.8545454545454545,85.3890909090909,2.6545454545454548,141.84598954545453,104499.16945454547,720.9515569472728
Ambalipura,7612.6,1473.84,2.28,1.8,99.0732,2.48,136.92415752,121245.78216,842.6568683639999
Ambedkar Nagar,7574.903225806452,2289.5806451612902,3.4838709677419355,2.064516129032258,185.19354838709677,3.064516129032258,212.70891067741937,226639.86451612902,981.0797757935484
Amruthahalli,6262.608695652174,1400.9130434782608,2.3043478260869565,1.391304347826087,91.54347826086956,2.260869565217391,130.14902447826088,112030.90869565216,796.7838911391304
Anandapura,5360.173913043478,1231.9565217391305,2.217391304347826,0.9565217391304348,55.05478260869565,2.391304347826087,114.45245673913043,67376.04295652173,599.9153429043479
Ananth Nagar,8022.571428571428,951.2142857142857,2.0,1.5,30.799642857142857,2.0,88.37066078571429,37692.602928571425,418.8962589357143
Anekal,5141.933333333333,1037.5833333333333,1.7666666666666666,1.1333333333333333,39.55,2.0,96.39460441666667,48401.29,482.31235073
Anjanapura,5589.25,1231.0,2.5,1.125,64.024375,2.5625,114.36359300000001,78353.030125,684.83287254375
Ardendale,6234.631578947368,1980.9599999999998,2.9473684210526314,1.9473684210526316,122.38157894736842,3.0526315789473686,184.03712688421055,149770.57631578948,766.6138585210526
