location,Unnamed: 0,area_type,availability,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
1st Phase JP Nagar,1158,Built-up  Area,Not Ready,840.0,2,0,50.0,1,78.03852,61190.0,694.8331907,Tier 1
5th Phase JP Nagar,88,Built-up  Area,Not Ready,552.0,1,0,23.5,1,51.282456,28759.3,480.1329816,Tier 1
7th Phase JP Nagar,46,Built-up  Area,Not Ready,500.0,1,0,38.0,1,46.4515,46504.4,456.4859142,Tier 1
8th Phase JP Nagar,601,Built-up  Area,Not Ready,451.0,1,0,29.9,1,41.899253,36591.62,419.1370667,Tier 1
9th Phase JP Nagar,319,Built-up  Area,Not Ready,600.0,1,0,20.0,1,55.7418,24476.0,423.7630265,Tier 2
Abbigere,229,Built-up  Area,Not Ready,734.0,1,0,19.82,1,68.190802,24255.716,345.7135728,Tier 3
Akshaya Nagar,197,Built-up  Area,Not Ready,900.0,1,0,38.0,1,83.6127,46504.4,421.5321357,Tier 1
Ambalipura,398,Built-up  Area,Not Ready,770.0,1,1,28.93,1,71.53531,35404.534,442.9674682,Tier 1
Ambedkar Nagar,645,Built-up  Area,Not Ready,1367.0,2,1,86.0,2,126.998401,105246.8,765.8650721,Tier 1
Amruthahalli,384,Built-up  Area,Ready To Move,485.0,1,0,19.5,1,45.057955,23864.1,529.6312272,Tier 1
Anandapura,441,Built-up  Area,Not Ready,875.0,2,0,42.75,2,81.290125,52317.45,446.5382793,Tier 1
Ananth Nagar,1345,Built-up  Area,Not Ready,500.0,1,1,14.0,1,46.4515,17133.2,329.321981,Tier 2
Anekal,480,Built-up  Area,Not Ready,351.0,1,0,11.5,1,32.608953,14073.7,362.2541791,Tier 1
Anjanapura,425,Built-up  Area,Not Ready,600.0,2,0,25.0,1,55.7418,30595.0,368.8651036,Tier 1
Ardendale,63,Built-up  Area,Ready To Move,1100.0,2,1,43.25,2,102.1933,52929.35,517.933661,Tier 1
Attibele,53,Built-up  Area,Not Ready,395.0,1,0,10.0,1,36.696685,12238.0,275.4329296,Tier 1
BTM 2nd Stage,912,Built-up  Area,Not Ready,800.0,2,0,35.0,2,74.3224,42833.0,384.2089778,Tier 1
Babusapalaya,657,Built-up  Area,Not Ready,1050.0,2,0,33.84,2,97.54815,41413.392,394.9691821,Tier 1
Balagere,574,Built-up  Area,Not Ready,645.0,1,1,31.86,1,59.922435,38990.268,408.2567437,Tier 1
Banashankari,215,Built-up  Area,Not Ready,720.0,1,0,35.84,1,66.89016,43860.992,395.0761439,Tier 1
Banashankari Stage III,712,Built-up  Area,Not Ready,910.0,1,0,42.0,1,84.54173,51399.6,224.7138223,Tier 1
Bannerghatta Road,64,Built-up  Area,Not Ready,500.0,1,0,18.5,1,46.4515,22640.3,399.7287493,Tier 1
Basavangudi,419,Built-up  Area,Not Ready,600.0,1,0,50.0,1,55.7418,61190.0,790.3727544,Tier 1
Basaveshwara Nagar,208,Built-up  Area,Not Ready,900.0,1,0,58.0,2,83.6127,70980.4,647.480505,Tier 1
Battarahalli,2105,Built-up  Area,Not Ready,600.0,1,0,38.37,1,55.7418,46957.206,342.4948602,Tier 1
Begur,296,Built-up  Area,Not Ready,815.0,2,0,12.0,2,75.715945,14685.6,65.8643962,Tier 1
Begur Road,470,Built-up  Area,Not Ready,644.0,1,0,27.0,1,59.829532,33042.6,366.6677726,Tier 1
Bellandur,65,Built-up  Area,Not Ready,850.0,1,0,35.0,1,78.96755,42833.0,384.921796,Tier 1
Bhoganhalli,523,Built-up  Area,Not Ready,804.1,2,0,52.5,2,74.7033023,64249.5,605.7069876,Tier 1
Billekahalli,238,Built-up  Area,Ready To Move,950.0,2,1,50.0,2,88.25785,61190.0,536.6728579,Tier 1
Binny Pete,3898,Plot  Area,Not Ready,660.0,1,0,46.08,1,61.31598,56392.704,887.9496376,Tier 1
Bisuvanahalli,112,Built-up  Area,Ready To Move,700.0,1,0,27.0,2,65.0321,33042.6,379.8690757,Tier 1
Bommanahalli,11,Built-up  Area,Not Ready,515.0,1,0,19.5,1,47.845045,23864.1,382.8016189,Tier 2
Bommasandra,427,Built-up  Area,Not Ready,800.0,1,1,25.0,2,74.3224,30595.0,329.321981,Tier 1
Bommasandra Industrial Area,78,Built-up  Area,Not Ready,1000.0,2,0,28.88,2,92.903,35343.344,254.0483853,Tier 4
Brookefield,158,Built-up  Area,Ready To Move,941.0,2,0,48.0,2,87.421723,58742.4,481.1253123,Tier 1
Budigere,495,Built-up  Area,Not Ready,664.0,1,0,32.0,1,61.687592,39161.6,551.7436331,Tier 2
CV Raman Nagar,346,Built-up  Area,Not Ready,705.0,1,1,37.0,1,65.496615,45280.6,460.3529436,Tier 1
Chandapura,20,Built-up  Area,Not Ready,410.0,1,0,9.0,1,38.09023,11014.2,263.4575848,Tier 2
Channasandra,202,Built-up  Area,Not Ready,808.0,2,0,32.0,2,75.065624,39161.6,207.9928301,Tier 1
Chikkalasandra,84,Built-up  Area,Not Ready,875.0,1,0,42.8,2,81.290125,52378.64,472.8725881,Tier 1
Choodasandra,1389,Built-up  Area,Not Ready,725.0,2,1,36.0,2,67.354675,44056.8,551.4228519,Tier 1
Dasarahalli,751,Built-up  Area,Not Ready,1150.0,2,0,42.0,2,106.83845,51399.6,461.0507734,Tier 2
