location,area_type,availability,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
7th Phase JP Nagar,1,1,1,1,1,1,1,1,1,1,1
Ambedkar Nagar,3,3,3,3,3,3,3,3,3,3,3
Amruthahalli,1,1,1,1,1,1,1,1,1,1,1
BTM 2nd Stage,2,2,2,2,2,2,2,2,2,2,2
Banashankari,3,3,3,3,3,3,3,3,3,3,3
Bannerghatta Road,2,2,2,2,2,2,2,2,2,2,2
Basaveshwara Nagar,2,2,2,2,2,2,2,2,2,2,2
Bellandur,1,1,1,1,1,1,1,1,1,1,1
Brookefield,1,1,1,1,1,1,1,1,1,1,1
Devanahalli,1,1,1,1,1,1,1,1,1,1,1
Dodda Nekkundi,2,2,2,2,2,2,2,2,2,2,2
Domlur,1,1,1,1,1,1,1,1,1,1,1
Electronic City,1,1,1,1,1,1,1,1,1,1,1
Frazer Town,4,4,4,4,4,4,4,4,4,4,4
Gubbalala,1,1,1,1,1,1,1,1,1,1,1
Hebbal,11,11,11,11,11,11,11,11,11,11,11
Hebbal Kempapura,1,1,1,1,1,1,1,1,1,1,1
Hegde Nagar,2,2,2,2,2,2,2,2,2,2,2
Hennur Road,2,2,2,2,2,2,2,2,2,2,2
Hosakerehalli,1,1,1,1,1,1,1,1,1,1,1
Iblur Village,2,2,2,2,2,2,2,2,2,2,2
Indira Nagar,7,7,7,7,7,7,7,7,7,7,7
JP Nagar,1,1,1,1,1,1,1,1,1,1,1
Jakkur,2,2,2,2,2,2,2,2,2,2,2
Kogilu,1,1,1,1,1,1,1,1,1,1,1
Koramangala,7,7,7,7,7,7,7,7,7,7,7
Kothanur,1,1,1,1,1,1,1,1,1,1,1
Kundalahalli,2,2,2,2,2,2,2,2,2,2,2
Malleshwaram,8,8,8,8,8,8,8,8,8,8,8
Marathahalli,1,1,1,1,1,1,1,1,1,1,1
Old Airport Road,1,1,1,1,1,1,1,1,1,1,1
Padmanabhanagar,2,2,2,2,2,2,2,2,2,2,2
R.T. Nagar,1,1,1,1,1,1,1,1,1,1,1
Rajaji Nagar,16,16,16,16,16,16,16,16,16,16,16
Ramagondanahalli,1,1,1,1,1,1,1,1,1,1,1
Sarjapur,3,3,3,3,3,3,3,3,3,3,3
Sarjapur  Road,10,10,10,10,10,10,10,10,10,10,10
Seegehalli,1,1,1,1,1,1,1,1,1,1,1
Ulsoor,3,3,3,3,3,3,3,3,3,3,3
Whitefield,23,23,23,23,23,23,23,23,23,23,23
Yelahanka,2,2,2,2,2,2,2,2,2,2,2
Yelahanka New Town,1,1,1,1,1,1,1,1,1,1,1
other,167,167,167,167,167,167,167,167,167,167,167
